id,symbol,name,categories,market_cap (usd),market_cap_rank,fully_diluted_valuation (usd)
0x,zrx,0x Protocol,"['Decentralized Exchange (DEX)', 'Decentralized Finance (DeFi)', 'Avalanche Ecosystem', 'Harmony Ecosystem', 'Ethereum Ecosystem', 'Coinbase Ventures Portfolio', 'Pantera Capital Portfolio', 'Energi Ecosystem', 'GMCI DeFi Index', 'Blockchain Capital Portfolio', 'GMCI Index', 'Made in USA']",226842684,242,267378127
0x0-ai-ai-smart-contract,0x0,0x0.ai: AI Smart Contract,"['Artificial Intelligence (AI)', 'Ethereum Ecosystem']",69385829,550,69385829
1guy,1guy,1GUY,"['BNB Chain Ecosystem', 'Meme']",6570121,1698,6570121
1inch,1inch,1inch,"['Decentralized Exchange (DEX)', 'Exchange-based Tokens', 'Decentralized Finance (DeFi)', 'Automated Market Maker (AMM)', 'BNB Chain Ecosystem', 'Avalanche Ecosystem', 'Polygon Ecosystem', 'Near Protocol Ecosystem', 'Harmony Ecosystem', 'Ethereum Ecosystem', 'FTX Holdings', 'Alameda Research Portfolio', 'DragonFly Capital Portfolio', 'Pantera Capital Portfolio', 'Energi Ecosystem', 'Binance Labs Portfolio', 'GMCI DeFi Index', 'Galaxy Digital Portfolio', 'Blockchain Capital Portfolio', 'Dex Aggregator', 'GMCI Index', 'Coinbase 50 Index']",311841592,196,339877920
360noscope420blazeit,mlg,360noscope420blazeit,"['Solana Ecosystem', 'Meme', 'Solana Meme']",8468463,1562,8468463
42-coin,42,42-coin,['BNB Chain Ecosystem'],6948846,1671,6948854
888-token,888,888,"['Solana Ecosystem', 'Meme', 'Solana Meme']",5185900,1853,5185900
aave,aave,Aave,"['Decentralized Finance (DeFi)', 'Yield Farming', 'BNB Chain Ecosystem', 'Lending/Borrowing Protocols', 'Avalanche Ecosystem', 'Polygon Ecosystem', 'Near Protocol Ecosystem', 'Fantom Ecosystem', 'Harmony Ecosystem', 'Arbitrum Ecosystem', 'Ethereum Ecosystem', 'Optimism Ecosystem', 'Base Ecosystem', 'Index Coop Defi Index', 'Energi Ecosystem', 'Sora Ecosystem', 'Huobi ECO Chain Ecosystem', 'GMCI DeFi Index', 'Blockchain Capital Portfolio', 'Index Coop Index', 'GMCI Index', 'World Liberty Financial Portfolio', 'Coinbase 50 Index']",2868249719,43,3041936153
aarma-2,arma,Aarma,[],10056782,1462,37385414
aavegotchi,ghst,Aavegotchi,"['Smart Contract Platform', 'Gaming (GameFi)', 'NFT', 'Metaverse', 'Collectibles', 'Polygon Ecosystem', 'Meme', 'Play To Earn', 'Ethereum Ecosystem', 'Gotchiverse', 'Base Ecosystem', 'Layer 3 (L3)', 'Gaming Governance Token', 'Gaming Utility Token', 'Energi Ecosystem']",22313548,1023,23007313
